doc_id,User Names,Reviews,cleaned_data,sentiments
43,alexsafford,"'Joker' is a huge breath of fresh air to the movie industry at the moment. The amount of mundane films that have been released in recent years has become somewhat tiresome. This film has set the bar for 2019's films.

'Joker' is a very educational film and is a real eye opener to the current state of affairs in terms of the oppression in society, more specifically, the lower class.

The film is paced brilliantly, is the perfect length, was never once boring and just outright engaging. So captivating and heart wrenching to watch that it really leaves you feeling stunned.

Cannot recommend this film enough",joker huge breath fresh air movie industry moment the amount mundane films released recent years become somewhat tiresome this film set bar filmsjoker educational film real eye opener current state affairs terms oppression society specifically lower classthe film paced brilliantly perfect length never boring outright engaging so captivating heart wrenching watch really leaves feeling stunnedcannot recommend film enough,positive
44,eonian-85028,"I Was not expecting this movie to be such a masterpiece at every single level. It is truly what a movie should be: transporting you in the psyche of someone that is not you and make you relate to this person in some strange way. I'm speechless by how incredible it was, how I was taken by surprise... We knew Phoenix to be a great actor for twisted vilain since Gladiator , but now it is going to be impossible to imagine the Joker without him playing it. There is such depth in his acting, such a raw interpretation of mental illness. I'm just baffled how he is able to carry the movie and this level of intensity from the first minute to the last one on -almost- a stand alone performance. Very impressive performance that make some A list actors look like amateur who can only play themselves. As an origin story for the joker, it brings so much depth to this DC character and thinking of the Joker now in previous Batman movie, make him become such an interesting vilain.

As a final note, I loved how they twisted the birth of Batman and kept the previous work done with Batman begins coherent but slightly different.

I thought before that DC was doing a poor job transposing their universe and character to the big screen (except for Batman Begins) but man, this movie changed my mind! Congrats to all the team who work on making this move a reality, and a standing ovation to Mr Phoenix for granting us of such an acting performance. Already a classic!",i was expecting movie masterpiece every single level it truly movie transporting psyche someone make relate person strange way im speechless incredible i taken surprise we knew phoenix great actor twisted vilain since gladiator going impossible imagine joker without playing there depth acting raw interpretation mental illness im baffled able carry movie level intensity first minute last one almost stand alone performance very impressive performance make a list actors look like amateur play as origin story joker brings much depth dc character thinking joker previous batman movie make become interesting vilainas final note i loved twisted birth batman kept previous work done batman begins coherent slightly differenti thought dc poor job transposing universe character big screen except batman begins man movie changed mind congrats team work making move reality standing ovation mr phoenix granting us acting performance already classic,neutral
45,mahdiy-89469,"Joker is a masterpiece unlike any CBM(comic book movie) that has come before it.

It touches on topics that are extremely relevant in today's society such as mental health, modern-day crime and corruption, and moral bankruptcy through the journey of the main character, Arthur Fleck. He is a man with high hopes and dreams at the beginning of the film who struggles to make things work for himself due to his mental instability and inability to fit in. All the unfortunate events that take place transform Arthur into the infamous big bad of Gotham we all know, the Joker.

Joaquin Phoenix absolutely kills it in this movie. His poignant performance gave the movie what it needed in telling its dark and gritty story and is arguably the best Joker performance ever. The musical score was spot on and gave the movie the melancholic feel it sought to instill in its viewers. The film was aesthetically striking and a beauty to watch.

This was a film whose main character I heavily sympathized with and one that made me reflect on how we treat and regard those who are less fortunate. The film delivers a very powerful message about modern society.",joker masterpiece unlike cbmcomic book movie come itit touches topics extremely relevant todays society mental health modernday crime corruption moral bankruptcy journey main character arthur fleck he man high hopes dreams beginning film struggles make things work due mental instability inability fit all unfortunate events take place transform arthur infamous big bad gotham know jokerjoaquin phoenix absolutely kills movie his poignant performance gave movie needed telling dark gritty story arguably best joker performance ever the musical score spot gave movie melancholic feel sought instill viewers the film aesthetically striking beauty watchthis film whose main character i heavily sympathized one made reflect treat regard less fortunate the film delivers powerful message modern society,positive
46,RinoBortone91,"Watched it on day one, it's more than two months and I still have goosebumps. The movie isn't that original, isn't something that you haven't seen before, but it's original in its purpose and vision. Todd, Joaquin and the whole working team had made one of the most iconic movies of all time portraying a different and original version of the Joker we all know but he's a metal ill, twisted and a suffering man that tries to be loved, understood, he wants his tears to be dried and he wants to be one of us, but he can't, he knows he can't and for that he'll become something else, choosing a path that himself seems to not accept. Joker earns 10 stars from me, not only because it's a magnificent movie, but because it's easily recognisable and it will stuck in your minds as most of icons movies from the past has done with your mind. Last but not least: Oscar-worthy ? All-in.",watched day one two months i still goosebumps the movie isnt original isnt something havent seen original purpose vision todd joaquin whole working team made one iconic movies time portraying different original version joker know hes metal ill twisted suffering man tries loved understood wants tears dried wants one us cant knows cant hell become something else choosing path seems accept joker earns stars magnificent movie easily recognisable stuck minds icons movies past done mind last least oscarworthy allin,positive
47,zerooscar,"I don't know what you call this, but it's not a movie. This is like.. biblical. It's like hearing a pastor preach about bible stories and then one day, God shows up and reveals what actually, and really happened, and it blows your mind away on levels you never before imagined. That's what this is. It is revealing and I'm not sure why the Director / Producers would do what they have done here, with this Masterpiece. They have laid strokes NO ONE can follow today. They will have to watch what they eat, what they drink, where they go, 24/365 security for them now. They have done this to themselves because envy is a hell of a thing. Congratulations on a film so well done, in my opinion, it is unmatched. The only ones that comes close is Amadeus and The Matrix.",i dont know call movie this like biblical its like hearing pastor preach bible stories one day god shows reveals actually really happened blows mind away levels never imagined thats it revealing im sure director producers would done masterpiece they laid strokes no one follow today they watch eat drink go security they done envy hell thing congratulations film well done opinion unmatched the ones comes close amadeus the matrix,neutral
48,kosy-62100,"This movie is a masterpiece! The acting and character development is one of a kind. Not your typical kid friendly action hero movie (I was hoping it wouldn't be). Instead, it tells the story of a deeply disturbed man and his rise to power. A psychological work of art.

A must see!",this movie masterpiece the acting character development one kind not typical kid friendly action hero movie i hoping wouldnt instead tells story deeply disturbed man rise power a psychological work arta must see,positive
49,keyhaniomidph,"Phoenix's mesmerizing act is great, Unique story , great design and... The best movie that you could see in this year.",phoenixs mesmerizing act great unique story great design the best movie could see year,positive
50,shashthezarch,Plz its my humble request. Its an amazing movie. Dont let it drop below that overhyped garbage.,plz humble request its amazing movie dont let drop overhyped garbage,negative
51,shashthezarch,"I dont understand the hate. I was very excited for this movie, then I read some reviews saying that it isnt actually good. But why? I saw one review where s/he literally wrote that s/he wanted to see a villain killing for no reason. Is that how a story works? If someone is a psycho. There has to be some reason and proper explanation about what he is doing or why he is doing. Killing people without any reason doesnt bring any character arc to the character. I think Phoenix nailed it as the Joker. His acting was perfect. If we talk about Cinematography, then its pretty notched up. The violence and action in this movie isnt high like any other superhero movie. But I think thats what make this movie more realistic and relatable to the real world. I am a die hard marvel fan, and I loved this movie. Music score is top notched, you would have heard it in the teaser trailer. His laughs really shows someone with suffering nd pain. The best thing I observe about this movie is that its well placed. The scenes have been deleted and cut in a proper manner, to give the exact runtime that a plot like this should have. It just didnt feel stretched. I lob",i dont understand hate i excited movie i read reviews saying isnt actually good but i saw one review literally wrote wanted see villain killing reason is story works if someone psycho there reason proper explanation killing people without reason doesnt bring character arc character i think phoenix nailed joker his acting perfect if talk cinematography pretty notched the violence action movie isnt high like superhero movie but i think thats make movie realistic relatable real world i die hard marvel fan i loved movie music score top notched would heard teaser trailer his laughs really shows someone suffering nd pain the best thing i observe movie well placed the scenes deleted cut proper manner give exact runtime plot like it didnt feel stretched i lob,negative
52,alyannaw,"I have just witnessed a masterpiece of an acting! I can't remember the last time I've seen a performance like that. The movie was well written, brilliantly directed and would like to see it once again!",i witnessed masterpiece acting i cant remember last time ive seen performance like the movie well written brilliantly directed would like see,positive
53,dhughbnks,,,
54,Salva20,This film is phenomenal. It's commentary on certain aspects of society and mental illness will leave you in a state of reflection. Joaquin Phoenix also captures and holds your attention throughout the film in a truly mesmerizing performance. I wouldn't recommend this film for the faint of heart as it is very dark.,this film phenomenal its commentary certain aspects society mental illness leave state reflection joaquin phoenix also captures holds attention throughout film truly mesmerizing performance i wouldnt recommend film faint heart dark,negative
55,cute_mughal-24574,"That was my favorite line from the movie gosh man I'm a fan what a movie, and trumendous acting from joaquin I will say to Todd and joaquin you'll get what you deserve and you two deserve oscar award",that favorite line movie gosh man im fan movie trumendous acting joaquin i say todd joaquin youll get deserve two deserve oscar award,positive
56,youcanprosperfromhome,"Todd Phillip's Joker is strange, gripping, and unlike the films it shares its comic book category. Grounded by a world that's hard to look at, littered with sure-to-be-iconic character shots, fueled by a heart breaking performances, and sewn together by a near perfect score; Joker is sure to both divide and captivate audiences for decades to come",todd phillips joker strange gripping unlike films shares comic book category grounded world thats hard look littered suretobeiconic character shots fueled heart breaking performances sewn together near perfect score joker sure divide captivate audiences decades come,negative
57,sachulekha,Classy touch of film making Phoenix acted as best joker i have ever seen as a DC fan❤,classy touch film making phoenix acted best joker ever seen dc fan,positive
58,chapu-75314,With out words. I didn't spect something like this. Just increible. Just amazing.,with words i didnt spect something like just increible just amazing,positive
59,sofijassir,"Critics are wrong, this movie is amazing; great performances and amazing cinemtagraphy",critics wrong movie amazing great performances amazing cinemtagraphy,positive
60,demirkasapoglu,,,
61,nganooswalt,The movie was amazing in everything the acting directing everything and Joaquin Phoenix did a great job making the role if you haven't watched the movie yet I suggest you to go right now!,the movie amazing everything acting directing everything joaquin phoenix great job making role havent watched movie yet i suggest go right,positive
62,zahamako,"At first I was hesitant to watch this film, mainly because of DC's past movies like Suicide Squad, Batman V Superman, Justice League, etc. But this is a more realistic take on one of the most iconic super villains of all time. Joker is a cinematic masterpiece. The cinematography is spectacular and I never thought I would see another movie that looked as stunning as this. Joaquin Phoenix's performance in my opinion is better than Heath Ledgers. The movie is presented in a dream-like manor, moments where scenes are just fantasies in Arthur's head which makes it ambiguous and up for interpretation. The final 15 minutes is absolutely phenomenal and I left the movie theater with a smile, highly satisfied with what I saw. Film buffs would appreciate this movie more due to it's themes and Martin Scorsese-like-style. If you love Martin Scorseses movies like Taxi Driver, Raging Bull, Goodfellas, then you will love this film. Don't listen to the mixed reviews, if you want to have a great 2 hrs and 2 mins, then go see this movie.",at first i hesitant watch film mainly dcs past movies like suicide squad batman v superman justice league etc but realistic take one iconic super villains time joker cinematic masterpiece the cinematography spectacular i never thought i would see another movie looked stunning joaquin phoenixs performance opinion better heath ledgers the movie presented dreamlike manor moments scenes fantasies arthurs head makes ambiguous interpretation the final minutes absolutely phenomenal i left movie theater smile highly satisfied i saw film buffs would appreciate movie due themes martin scorseselikestyle if love martin scorseses movies like taxi driver raging bull goodfellas love film dont listen mixed reviews want great hrs mins go see movie,positive
63,carriejenkinson,"Joaquin Phoenix Is simply outstanding! One of the best films I've seen for years.. just absolutely loved it!!

And the Oscar goes to...",joaquin phoenix is simply outstanding one best films ive seen years absolutely loved itand oscar goes,positive
64,hannahb-44910,This is some of the best acting I've seen in a long time. It takes a lot for me to concentrate through a whole movie and this had me gripped from start to finish. A background story with so much depth and a big and important focus on mental health and nurture,this best acting ive seen long time it takes lot concentrate whole movie gripped start finish a background story much depth big important focus mental health nurture,positive
65,syedhussain-96714,"Brilliant Film! Deserves a 10 rating! There are also themes about the effect of loss, love, and friendship going in the proceedings here.",brilliant film deserves rating there also themes effect loss love friendship going proceedings,positive
66,scottmactaggart,"In a time when popcorn movies rule (and make no mistake, I enjoy those too) this is the exception. Every single aspect of this movie is astounding - acting (especially the acting - all hail Joaquin Phoenix), the music (I'm listening to it now - something I rarely do for movie soundtracks), the lighting, the sets - everything.

Watch it. Then watch it again. In the cinema both times.

But a gentle warning - it's not a superhero movie, it's not light, it's not especially fun (although there are some amusing moments), and it requires some concentration, but you will be captivated.",in time popcorn movies rule make mistake i enjoy exception every single aspect movie astounding acting especially acting hail joaquin phoenix music im listening something i rarely movie soundtracks lighting sets everythingwatch then watch in cinema timesbut gentle warning superhero movie light especially fun although amusing moments requires concentration captivated,posiitve
67,bada-65197,"The Joker won. Absolutely tremendous, what acting skills are we talking about ? It is amazing!",the joker absolutely tremendous acting skills talking it amazing,positive
68,omranha-07285,"Amazing ! But be carefull , there is side eeffects ! Best movie i watched ever at cinema!",amazing but carefull side eeffects best movie watched ever cinema,posiitve
69,valentine-15890,"I just saw it and I can't help thinking of JOKER'S LAUGHING,which is very impressive. Best acting! The violin music is very outstanding ... Everyone one should learn something from this incredible film,that we should pay attention to mental healthy as well as not to bully others. I definitely recommend this movie.Besides I expect JOKER would obtain several OSCAR AWARDS!!!Especially the best actor!! There is no doubt that Joaquin deserves an OSCAR 🤡 I reckon that the JOKER has become a symbol of madness,craziness,chaos.",i saw i cant help thinking jokers laughingwhich impressive best acting the violin music outstanding everyone one learn something incredible filmthat pay attention mental healthy well bully others i definitely recommend moviebesides i expect joker would obtain several oscar awardsespecially best actor there doubt joaquin deserves oscar i reckon joker become symbol madnesscrazinesschaos,positive
70,toniespino,"There is nothing else to say. This is THE movie of the decade, haven't seen so much hype for a movie in a long time. What else can I say, Warner you did good even after the horrible DC movies you got up again and proved there is more than just Marvel. This is the movie that will save the lost art of cinema.",there nothing else say this the movie decade havent seen much hype movie long time what else i say warner good even horrible dc movies got proved marvel this movie save lost art cinema,positive
71,giorgibregvadze,"No superpowers, buf still the best villain ever. Just best performance, outstanding. This movie shows another reason why We love the joker",no superpowers buf still best villain ever just best performance outstanding this movie shows another reason we love joker,positive
72,sav-83975,It's hard to describe how good this movie was. I just know the sequel will be amazing. Can't wait.,its hard describe good movie i know sequel amazing cant wait,positive
73,tangli-47554,"Best movie I have ever seen!! I can't get my eyes off the screen for the entire movie. It's hitting your heart in every direction possible. Go see it, don't miss it!",best movie i ever seen i cant get eyes screen entire movie its hitting heart every direction possible go see dont miss,positive
74,robertnecula,"A good movie if you want to watch go!! The acting is great, the story is grateful. And Joker is The Movie of 2019 Overall.",a good movie want watch go the acting great story grateful and joker the movie overall,positive
75,Manveer_Mathur,"It was pretty clear from before the movie got released that despite being a central comic book villain, Joker would not be anywhere along the lines of any superhero/super villain film we've ever seen. Instead of having the clown of Gotham going on a mad rampage to burn down the city, we witness an origin story for Joker : a story of how a normal if not slightly delusional person on being bogged down by society can turn into an uncontrollable, cold-blooded madman that we all know of.

Joker's alter ego Arthur Fleck's struggles makes it immensely relatable and it is amazing to watch the character develop throughout the film. Joaquin Phoenix never fails, delivering a strong performance and proving that he is one of the best, most devoted method actors in the industry.

Joker rides on a simple plot fueled by a cast of extraordinary actors and a spine-chilling soundtrack which goes perfect with the protagonist's actions. With a couple of gory scenes, the movie can feel a bit heavy to handle. The movie, with beautiful cinematography ,successfully captures the essence Prince Clown of Gotham!",it pretty clear movie got released despite central comic book villain joker would anywhere along lines superherosuper villain film weve ever seen instead clown gotham going mad rampage burn city witness origin story joker story normal slightly delusional person bogged society turn uncontrollable coldblooded madman know ofjokers alter ego arthur flecks struggles makes immensely relatable amazing watch character develop throughout film joaquin phoenix never fails delivering strong performance proving one best devoted method actors industryjoker rides simple plot fueled cast extraordinary actors spinechilling soundtrack goes perfect protagonists actions with couple gory scenes movie feel bit heavy handle the movie beautiful cinematography successfully captures essence prince clown gotham,neutral
76,toutouguy,,,
77,raspecwamen,"Go watch this movie. Seriously. That's all. One of the best portrayal of Joker , after Heath Ledger in the Dark Knight. I hope they will win Oscars.",go watch movie seriously thats one best portrayal joker heath ledger dark knight i hope win oscars,positive
78,sandeepmourya-89733,"A spectacular display of direction, acting, cinematography, in the era of stupid CGI action movies...",a spectacular display direction acting cinematography era stupid cgi action movies,positive
79,jackmcc-50755,Really good plot and GREAT acting just extremely dark,really good plot great acting extremely dark,positive
80,thomasfinch-10748,"Truly an incredible film, acting from Pheonix some of the best I've seen, if he doesn't win an Oscar I'll be surprised. HIGHLY RECOMMEND SEEING THIS FILM!",truly incredible film acting pheonix best ive seen doesnt win oscar ill surprised highly recommend seeing this film,positive
81,ateeg-62898,"Masterpace ,great.best movie in last 4 or 5 years.i wich phonix win oscar gor he great proforms",masterpace greatbest movie last yearsi wich phonix win oscar gor great proforms,positive
82,rubaiyatzisan,One of the Best Movie So Far In Hollywood Industry! Todd Philips! U beauty ❤ Phoenix 😘😘😘😘😘😘😘 Love From Bangladesh ❤❤❤❤,one best movie so far in hollywood industry todd philips u beauty phoenix love from bangladesh,positive
83,aarronjtaylor,"As a HUGE Nolan trilogy fan I went into this with low expectations. I mean, who could compare with Ledgers Joker portrayal, let alone compete with the great script and plot 'The Dark Knight' gave us?

I couldn't have been more wrong. This movie completely blew me away. Not only was this great entertainment, but I left the cinema genuinely moved. Joaquin Phoenix will win the Oscar this year- no doubts.

This is not the origin story of any joker you have seen before. This is a very different take, and dare I say more realistic dissection of a villain we have all loved and hated for over a decade. I would love to see a sequel but a) I don't know how it would work and b) would be so scared they tarnished this work of art.

If you haven't seen it yet, buy a ticket now and go. You will NOT be disappointed.",as huge nolan trilogy fan i went low expectations i mean could compare ledgers joker portrayal let alone compete great script plot the dark knight gave usi couldnt wrong this movie completely blew away not great entertainment i left cinema genuinely moved joaquin phoenix win oscar year doubtsthis origin story joker seen this different take dare i say realistic dissection villain loved hated decade i would love see sequel i dont know would work b would scared tarnished work artif havent seen yet buy ticket go you not disappointed,negative
84,mrhfcb,What a great movie what a legend actor is just a masterpiece that's it.,what great movie legend actor masterpiece thats,positive
85,danielmatosbr,"There is nothing more delightful than an orchastreted chaos!

Phoenix presents us a man who hasn't really existed for his whole life. The awfulness is a routine, as the happiness is completely absent, nonexperienced.

Thereby, we are forced to witness nothing but misery, due to an A. Fleck struggling to mitigate his own nature: the comedy within the artist.

When the one is finally able to give birth to himself, there are no more barriers to push him back. The society is no longer capable to disregard a man it no longer owns.

Put on a happy face...and enjoy a hilarious psycopath in his full glory.

That's all. That's life.",there nothing delightful orchastreted chaosphoenix presents us man hasnt really existed whole life the awfulness routine happiness completely absent nonexperiencedthereby forced witness nothing misery due a fleck struggling mitigate nature comedy within artistwhen one finally able give birth barriers push back the society longer capable disregard man longer ownsput happy faceand enjoy hilarious psycopath full glorythats thats life,positive
86,larbidinari,This movie is an absolute piece of art I've never been Soo happy and thrilled to see a movie until this it's defrent and real and just amazing,this movie absolute piece art ive never soo happy thrilled see movie defrent real amazing,positive
87,blazesuncaster,,,
88,rosesailcat-84091,"I don't like violent films and I don't like comic books and comic book characters. That being said, I LOVED ""Joker""--as a former New Yorker, I loved the ""mood"" and lighting of this film's ""city,"" the ""characters"" you will only find in this crazy place, the lifestyle and intensity and madness that doesn't exist anywhere else on the planet and only really exists if you yourself are living somewhat on the edge. It's Bellevue and St. Vincent's and The Pyramid Club and every seedy street corner from ""Law and Order SVU"" rolled into one. Joaquin Phoenix is SO brilliantly uncomfortable you might check yourself in just to make sure you are still relatively the same person you were before you agreed to see this film.",i dont like violent films i dont like comic books comic book characters that said i loved jokeras former new yorker i loved mood lighting films city characters find crazy place lifestyle intensity madness doesnt exist anywhere else planet really exists living somewhat edge its bellevue st vincents the pyramid club every seedy street corner law order svu rolled one joaquin phoenix so brilliantly uncomfortable might check make sure still relatively person agreed see film,neutral
89,theyashl,"First of all the most attractive thing in this film is the Acting.. such a brilliant acting by Joaquin Phoenix. The next best thing is the story. Really, this film is just like a biopic of Joker but the story is really awesome. Next thing is its Screenplay. Such a beautiful presentation. I really liked this movie. According me this is one of the best movie from DC universe.",first attractive thing film acting brilliant acting joaquin phoenix the next best thing story really film like biopic joker story really awesome next thing screenplay such beautiful presentation i really liked movie according one best movie dc universe,positive
90,mighrimqhdi,"I'm literally impressed and extremely happy Joker will be the beginning of a revolution in the world of cinema and comic book movies ( i hope ). This movie is brilliant, thrilling, sad and a beautiful dark masterpiece. A spectacular character study with an unbelivebale and outstanding performance from Joaquin Phoenix, this is by far the best performance in last 10 years, the way he laughs, his body language, his eyes, his facial expressions are all out of this world, Joaquin conveys all types of emotions in a sensational way. The story is well paced and takes us step by step with arther and his fall from sanity to insanity each action and each detail matters and affects the coming events and makes us as audience understand to some degree the horrible actions that arther will do in the future. This movie accuses us the society and puts the blame on us for the way we treat ourselves and how we create within us monsters. The Joker that we get in the end is a moving representation of the corruption in our society and especially our media wich explains why there is a group of ""critcs"" that are demonizing The movie and ignoring the art in it and the big message it carries. Todd Philips you surprised me this is big jump in your career from comedy to such a perfected drama the shots, the close ups, the cinematography, the tone of the movie everything is really masterful and of course how can i forget Hildur guonadottir and her mesmerizing score that fits perfectly each scene and each transformations arther goes through, her soundtrack plays with our emotions and our nerves and makes us feel the darkness of this movie. This Film is nearly perfect, hard to watch, tough and makes you think about a lot of things. The only thing that may be bugging for some is the heavy inspiration from Scorsese's movies especially taxi driver and the king of comedy, i don't consider this a bad thing each filmmaker must be ispired from other works but it's a little but obvious here even so it's not a problem for me and because of all the other good things that impressed me and touched my soul and the questions that this work of art made me ask i give it a 10/10.",im literally impressed extremely happy joker beginning revolution world cinema comic book movies hope this movie brilliant thrilling sad beautiful dark masterpiece a spectacular character study unbelivebale outstanding performance joaquin phoenix far best performance last years way laughs body language eyes facial expressions world joaquin conveys types emotions sensational way the story well paced takes us step step arther fall sanity insanity action detail matters affects coming events makes us audience understand degree horrible actions arther future this movie accuses us society puts blame us way treat create within us monsters the joker get end moving representation corruption society especially media wich explains group critcs demonizing the movie ignoring art big message carries todd philips surprised big jump career comedy perfected drama shots close ups cinematography tone movie everything really masterful course forget hildur guonadottir mesmerizing score fits perfectly scene transformations arther goes soundtrack plays emotions nerves makes us feel darkness movie this film nearly perfect hard watch tough makes think lot things the thing may bugging heavy inspiration scorseses movies especially taxi driver king comedy dont consider bad thing filmmaker must ispired works little obvious even problem good things impressed touched soul questions work art made ask give,positive
91,morakhat,"This movie come out with a different play I will say. Watching the trailer I dreamed about the movie would be much dark and more sympathetic to Joker. But in the hall I couldn't keep my eyes off the movie. It wasn't the movie that I thought it would be. Phoenix acting deserves some memorable rewards. I would recommend everyone can watch the movie if he/she has heart and brain to understand it. Do not go to the negative way, there is a lot to live in affirmative. Tod you are awesome. And sound effects were mind blowing. Hats off...",this movie come different play i say watching trailer i dreamed movie would much dark sympathetic joker but hall i couldnt keep eyes movie it wasnt movie i thought would phoenix acting deserves memorable rewards i would recommend everyone watch movie heshe heart brain understand do go negative way lot live affirmative tod awesome and sound effects mind blowing hats,positive
92,fitnessmedic,"Uncomfortable, unsettling, provocative, a masterpiece of a film that makes you feel every scene from start to finish. I rewatched The Dark Knight and this movie was a stand alone and unique movie experience. GO WATCH IT!",uncomfortable unsettling provocative masterpiece film makes feel every scene start finish i rewatched the dark knight movie stand alone unique movie experience go watch it,positive
93,malloryem,This is one of the best movies i've seen. thank you,this one best movies ive seen thank,positive
94,kikkomanph,,,
95,shinginharig,Absolutely great performance. Phoenix owns this role. The character development is amazing.,absolutely great performance phoenix owns role the character development amazing,positive
96,afnansaeed-76293,One of the best movies. I really recommend it to you gys,one best movies i really recommend gys,positive
97,legorocks-30147,,,
98,tusharshanker-96210,"This movie is truly a masterpiece. The acting, cenimatography and story all are really very good and soundtracks are also amazing.",this movie truly masterpiece the acting cenimatography story really good soundtracks also amazing,positive
99,a_z_love-28027,One of the best movies in my life .. story .. acting .. director.. sound tracks every thing is marvelous you must see this movie .. it's hard to see movie like this for years coming,one best movies life story acting director sound tracks every thing marvelous must see movie hard see movie like years coming,positive
